"Date","Price","Open","High","Low","Vol.","Change %"
"12/13/2019","26,536.21","26,569.80","26,627.68","26,503.92","155.34M","-0.13%"
"12/12/2019","26,569.80","26,434.00","26,579.09","26,434.00","319.69M","0.51%"
"12/11/2019","26,434.00","26,384.21","26,445.80","26,332.35","180.06M","0.19%"
"12/10/2019","26,384.21","26,705.70","26,716.38","26,383.36","196.29M","-1.11%"
"12/09/2019","26,681.31","26,855.52","26,855.52","26,582.25","192.67M","-0.65%"
"12/06/2019","26,855.52","26,913.70","26,926.72","26,746.03","197.03M","-0.22%"
"12/05/2019","26,913.70","26,941.56","26,948.42","26,889.48","206.73M","-0.09%"
"12/04/2019","26,938.58","26,944.32","26,956.43","26,918.12","112.88M","-0.02%"
"12/03/2019","26,944.32","27,000.35","27,030.98","26,833.39","189.01M","-0.17%"
"12/02/2019","26,990.59","26,999.69","27,025.20","26,931.13","246.49M","-0.04%"
"11/29/2019","27,002.15","26,824.50","27,028.05","26,823.81","227.16M","0.66%"
"11/28/2019","26,824.50","26,790.10","26,863.97","26,790.10","303.77M","0.13%"
"11/27/2019","26,790.10","26,883.33","26,893.32","26,782.84","189.86M","-0.35%"
"11/26/2019","26,883.33","27,035.78","27,096.53","26,883.33","209.97M","-0.56%"
"11/25/2019","27,035.78","26,991.42","27,109.29","26,980.27","230.65M","0.16%"
"11/22/2019","26,991.42","26,872.09","27,039.80","26,849.26","207.26M","0.44%"
"11/21/2019","26,872.09","26,776.15","26,872.09","26,721.99","239.22M","0.36%"
"11/20/2019","26,776.15","26,750.49","27,035.28","26,750.49","267.31M","0.14%"
"11/19/2019","26,739.44","26,691.09","26,861.14","26,659.90","394.35M","0.18%"
"11/18/2019","26,691.09","26,851.68","26,851.68","26,666.40","307.88M","-0.60%"
"11/15/2019","26,851.68","26,883.67","26,984.06","26,724.43","469.99M","0.03%"
"11/14/2019","26,843.11","26,339.11","26,843.11","26,339.11","624.84M","1.84%"
"11/13/2019","26,357.61","26,456.39","26,456.39","26,338.25","610.56M","-0.37%"
"11/12/2019","26,456.39","26,314.49","26,512.60","26,314.49","378.35M","0.54%"
"11/08/2019","26,314.49","26,188.24","26,333.84","26,143.12","432.47M","0.48%"
"11/07/2019","26,188.24","26,223.66","26,242.53","26,172.35","726.19M","-0.14%"
"11/06/2019","26,223.66","26,364.81","26,367.19","26,223.66","232.09M","-0.58%"
"11/05/2019","26,375.35","26,401.06","26,447.96","26,299.86","304.28M","-0.10%"
"11/04/2019","26,401.06","26,293.30","26,433.95","26,293.30","368.18M","0.41%"
"11/01/2019","26,293.30","26,355.35","26,378.00","26,217.91","252.37M","-0.24%"
"10/31/2019","26,355.35","26,310.77","26,363.10","26,227.60","347.80M","0.17%"
"10/30/2019","26,310.77","26,236.04","26,385.37","26,199.51","156.85M","0.25%"
"10/29/2019","26,244.39","26,384.45","26,388.40","26,244.39","267.90M","-0.53%"
"10/28/2019","26,384.45","26,348.73","26,394.37","26,348.73","485.89M","0.14%"
"10/25/2019","26,348.73","26,357.24","26,360.20","26,113.88","250.54M","-0.03%"
"10/24/2019","26,357.24","26,397.94","26,410.84","26,350.07","177.04M","-0.15%"
"10/23/2019","26,397.94","26,365.83","26,410.91","26,294.57","168.43M","0.12%"
"10/22/2019","26,365.83","26,390.08","26,409.34","26,353.55","519.76M","-0.09%"
"10/21/2019","26,390.08","26,448.62","26,449.53","26,382.21","135.80M","-0.22%"
"10/18/2019","26,448.62","26,456.29","26,464.61","26,374.84","310.56M","-0.03%"
"10/17/2019","26,456.29","26,472.20","26,472.20","26,429.94","144.08M","-0.06%"
"10/16/2019","26,472.20","26,513.65","26,574.38","26,470.68","138.47M","-0.16%"
"10/15/2019","26,513.65","26,557.44","26,567.67","26,510.14","174.41M","-0.16%"
"10/14/2019","26,557.44","26,533.78","26,607.06","26,506.56","129.08M","0.09%"
"10/11/2019","26,533.78","26,583.75","26,702.39","26,533.14","117.38M","-0.19%"
