Date,Price,Open,High,Low,Vol.,Change %,Close
06/30/2023,60968.27,60109.02,60968.82,60109.02,998.08,1.43,146064.9186
06/27/2023,60109.41,59332.61,60109.41,59315.04,763.69,1.3,136465.003
06/26/2023,59338.76,59208.11,59500.39,59197.74,552.68,0.22,72233.8942
06/23/2023,59206.63,59211.26,59252.78,59164.94,627.87,-0.26,43816.3324
06/22/2023,59361.6,59324.99,59373.28,59279.36,615.91,0.06,62884.4894
06/21/2023,59323.95,59110.6,59399.54,59097.09,643.03,0.36,80390.416
06/20/2023,59110.02,59014.85,59125.75,59012.15,588.84,0.16,68457.226
06/19/2023,59016.12,59000.96,59227.72,58925.92,892.95,0.03,60770.9888
06/16/2023,59000.96,59195.21,59233.16,58897.65,622.42,-0.33,39660.7907
06/15/2023,59195.21,59985.1,60442.12,59121.7,1.17,-1.32,-19195.232
06/14/2023,59985.1,58163.76,60072.73,58163.76,1.3,3.13,240216.3288
06/13/2023,58163.55,55930.97,58195.59,55930.97,1.19,3.99,279095.5403
06/09/2023,55930.97,55956.59,55998.75,55867.98,574.63,-0.05,53158.7605
06/08/2023,55956.59,56024.83,56030.97,55361.68,531.78,-0.12,49301.8504
06/07/2023,56025.56,56038.85,56089.52,56006.8,397.62,-0.02,54918.073
06/06/2023,56038.85,55806.71,56038.85,55768.37,322.49,0.42,79245.5282
06/05/2023,55807.09,55820.5,55820.5,55694.52,369.75,-0.03,54145.885
06/02/2023,55822.82,55808.25,55828.59,55570.81,455.76,0.03,57482.4975
06/01/2023,55808.25,55769.91,55832.68,55713.6,390.22,0.07,59673.8037
05/31/2023,55769.28,55741.49,55800.21,55436.5,661.51,0.04,57971.1496
05/30/2023,55745.74,52973.88,55745.74,52973.88,1.08,5.23,330027.2724
05/26/2023,52973.88,52821.6,52991.18,52415.13,461.78,0.29,68139.864
05/25/2023,52821.64,52927.6,52928.28,52723.15,377.14,-0.2,42342.08
05/24/2023,52927.6,52621.19,52942.62,52581.88,455.18,0.58,83141.4802
05/23/2023,52621.19,52374.89,52621.19,52361.95,350.97,0.48,77514.8372
05/22/2023,52369.13,52187.93,52369.13,52145.28,315.68,0.35,70453.7055
05/19/2023,52187.93,52109.45,52187.93,52064.86,584.66,0.15,59925.8675
05/18/2023,52109.43,52063.21,52139.51,52044.02,334.24,-0.9,5206.321
05/17/2023,52580.86,52417.09,52636.93,52417.09,680.8,0.31,68666.3879
05/16/2023,52419.33,52231.29,52436.45,52231.29,576.85,0.36,71034.5544
05/15/2023,52231.29,52214.62,52250.73,52212.44,626.39,0.03,53781.0586
05/12/2023,52214.62,52162.14,52215.66,52159.75,1.42,0.1,57378.354
05/11/2023,52161.24,52202.53,52251.68,52100.03,477.27,-0.09,47504.3023
05/10/2023,52209.31,52605.41,52684.07,52077.15,554.31,-0.76,12625.2984
05/09/2023,52606.51,52576.26,52658.89,52551.76,640.95,0.05,55205.073
05/08/2023,52579.52,52465.33,52622.37,52465.33,511.37,0.22,64007.7026
05/05/2023,52466.52,52290.75,52469.78,52273.06,482.58,0.34,70069.605
05/04/2023,52290.75,52207.77,52308.82,52207.77,770.12,0.16,60561.0132
05/03/2023,52207.77,52296.48,52300.31,52172.84,670.08,-0.17,43406.0784
05/02/2023,52299.24,52406.88,52426.46,52088.98,418.4,-0.2,41925.504
04/28/2023,52403.51,52235.88,52468.51,52223.82,472.13,0.32,68951.3616
04/27/2023,52235.88,52097.62,52308.3,52084.74,2.33,0.27,66163.9774
04/26/2023,52097.62,51608.39,52108.38,51605.13,1.48,0.81,93411.1859
04/25/2023,51681.01,51407.96,51681.55,51407.96,541.96,0.63,83794.9748
04/20/2023,51355.74,51237.16,51363.29,51019.11,600.77,0.29,66095.9364
04/19/2023,51209.01,51138.92,51209.01,51138.92,216.53,0.15,58809.758
04/18/2023,51134.85,51127.38,51144.76,51105.04,1.03,0.03,52661.2014
04/17/2023,51120.94,51709.5,51710.82,51095.23,226.59,-1.51,-26371.845
04/14/2023,51903.61,51944.58,51954.9,51886.65,260.7,-0.08,47789.0136
04/13/2023,51944.58,51953.41,51981.35,51941.27,302.92,-0.02,50914.3418
04/12/2023,51953.41,51952.99,51960.77,51935.95,255.16,0,51952.99
04/11/2023,51952.99,52994.13,52997.1,51945.98,1.72,-1.96,-50874.3648
04/06/2023,52994.13,53018.97,53031.41,52991.04,266.95,-0.05,50368.0215
04/05/2023,53018.97,54035.39,54041.08,53003.51,197.21,-1.97,-52414.3283
04/04/2023,54082.96,54187.48,54206,54051.37,296.68,-0.2,43349.984
04/03/2023,54190.28,54232.34,54236.59,54186.51,292.56,-1.22,-11931.1148
03/31/2023,54857.96,54413.21,54869.86,54413.21,557.93,0.82,99032.0422
03/30/2023,54413.21,53603.8,54413.21,53603.8,973.58,1.51,134545.538
