Date, Open, High, Low, Close, Volume
4/2/2021,36.2,37.2,36.2,36.85,18668801
3/2/2021,35.5,36.95,35.5,36.45,3181300
2/2/2021,35.5,35.8,35.05,35.55,10443600
1/2/2021,35.8,35.85,34.95,35.15,10614000
01/29/21,36.25,36.25,35.5,35.85,3596400
01/28/21,36.5,36.5,35.5,36.2,4469900
01/27/21,36.4,36.5,36.2,36.4,14316900
01/26/21,36.3,37,36.15,36.55,2089800
01/25/21,35.5,36.75,35.5,36.45,10100000
01/22/21,35.5,36,35,35.55,3037000
01/21/21,35.6,35.9,34.95,35.3,3976400
01/20/21,36.25,36.35,35.05,35.85,4645200
01/19/21,36.3,36.5,36.2,36.4,3441900
01/18/21,36.5,36.5,36,36.35,8334900
01/15/21,36.6,36.6,36.25,36.55,13225100
01/14/21,35,37,35,36.5,8378100
01/13/21,35,35.25,35,35.1,2770000
12/1/2021,34.5,35.05,34.25,34.9,7783600
11/1/2021,34.5,35,34.5,34.95,3905300
8/1/2021,35,35,34.75,35,4857800
7/1/2021,35,35.05,34.6,34.95,2094700
6/1/2021,35,35.05,34.5,35,7923000
5/1/2021,34.3,35,34.1,34.4,7743600
4/1/2021,34,34.5,34,34.25,3591000
12/31/20,34.25,34.5,34.15,34.25,1342600
12/30/20,34.4,34.4,33.95,34,4020000
12/29/20,34,34.25,33.9,34.05,898300
12/28/20,34,34.2,33.85,34.1,1832100
12/24/20,33.85,34.1,33.85,34,3088500
12/23/20,34,34.1,33.5,34,3049800
12/22/20,33.5,34.05,33.2,33.85,4497100
12/21/20,33,33.8,33,33.3,1363900
12/18/20,33,33.95,32.75,33.55,4546800
12/17/20,32.8,33.5,32.5,32.9,5216400
12/16/20,32.75,33,32.5,32.8,6442300
12/15/20,33,33.25,32.75,33.05,6861000
12/14/20,32.8,33.5,32.7,33.15,2534600
11/12/2020,32.8,33,32.1,32.95,4205400
10/12/2020,32.6,32.95,31.8,32.65,23692900
9/12/2020,32.8,33,32.55,32.95,9002200
8/12/2020,33.05,33.1,32.7,33,4133600
7/12/2020,33,33.5,32.5,33,1243900
4/12/2020,33.1,33.75,32.35,33.5,24609699
3/12/2020,32.95,33.1,32.5,33,22937000
2/12/2020,32.5,33,32.3,32.95,13888800
1/12/2020,32.7,33,32.05,32.3,10666600
11/30/20,32,33.45,32,32.7,23703801
11/27/20,32.2,32.2,31.75,31.9,3907100
11/26/20,32,32.15,31.75,32,2954800
11/25/20,32,32.3,31.75,32,5307500
11/24/20,32,32.1,31.5,31.7,3455300
11/23/20,31.95,32,31.5,32,2236900
11/20/20,31.5,32.2,31,32,19617600
11/19/20,32,32,31.3,31.45,1060600
11/18/20,32,32,31.7,31.95,3010300
11/17/20,32,32.1,31.5,32.05,4834700
11/16/20,31.7,32.35,31.5,32.1,2511300
11/13/20,30.85,32,30.85,31.8,3265800
12/11/2020,32,32.5,31.5,31.7,10734800
11/11/2020,30.5,32.5,30.3,31.8,8444700
10/11/2020,31,31.35,30.8,30.95,6330700
9/11/2020,31.25,31.3,30,30.75,2275300
6/11/2020,31,31.5,31,31.3,3200800
5/11/2020,31.1,31.3,31,31.25,5517900
4/11/2020,31.25,31.25,30.3,31.15,9494900
3/11/2020,30.85,31.7,30.7,31.25,15696300
2/11/2020,31.2,31.6,31,31.25,7894900
10/30/20,30.3,31.15,30.1,30.85,6717400
10/29/20,30.5,30.8,30.1,30.5,4669400
10/28/20,30.8,30.8,30.5,30.6,5808600
10/27/20,30.55,30.8,30.5,30.6,5362700
10/26/20,30.5,30.95,30.1,30.5,666900
10/23/20,30.65,31.2,30.5,30.95,13401700
10/22/20,30.25,31,30.25,30.65,1423800
10/21/20,30.1,30.55,30.1,30.25,6682400
10/19/20,30.1,30.2,30.05,30.1,2050100
10/16/20,30,30.2,30,30.1,2402400
10/15/20,30,30.1,30,30.05,102800
10/14/20,30.15,30.45,30,30.1,12379000
10/13/20,30,30.5,30,30.15,3837600
12/10/2020,30.05,30.1,30,30.05,3140000
9/10/2020,30.05,30.2,30,30.1,5908500
8/10/2020,30.15,30.5,30,30.05,6302700
7/10/2020,30,30.6,30,30.5,3276800
6/10/2020,30,30.15,29.9,29.95,5086100
5/10/2020,29.9,30.05,29.7,30,1100500
2/10/2020,30,30.15,29.8,30,4287500
1/10/2020,30,30.05,29.7,29.8,1949700
09/30/20,29.95,30.25,29.7,29.7,16260700
09/29/20,29.55,30,29.5,29.8,1216000
09/28/20,30,30.05,29.5,29.8,5393200
09/25/20,30,30.05,29.5,30.05,12093900
09/24/20,29.1,30.1,29.1,30,10557800
09/23/20,30.05,30.4,29.35,30,13820000
09/22/20,29.9,30.4,29.5,30.05,9994800
09/21/20,30,30,29.3,29.9,1425100
09/18/20,29.2,30,29,30,5894100
09/17/20,30,30.15,29.5,30,115836305
09/16/20,30,30.5,29.8,30.1,13625100
09/15/20,29.9,30.25,29.9,30.15,5077200
09/14/20,30,30,29.3,29.95,378400
11/9/2020,29.3,30.15,29.3,30.05,6191200
10/9/2020,30,30,29.2,29.95,28936699
9/9/2020,29.05,29.5,28.55,29.05,1831200
8/9/2020,29,29.2,28.75,29,1652300
7/9/2020,29.2,29.5,29.05,29.05,12957200
4/9/2020,30,30.3,29.3,29.6,3278800
3/9/2020,30,30.1,29.5,30.05,3234000
2/9/2020,29.9,30.05,29.5,30,25815000
1/9/2020,29.95,29.95,29.5,29.9,2291000
08/31/20,29.75,30,29.5,29.9,25963400
08/28/20,29.6,30.1,29.3,29.85,11730700
08/27/20,29,29.95,29,29.45,10409900
08/26/20,28.75,29.25,28.55,29,7522200
08/25/20,28,28.95,28,28.65,17696199
08/24/20,28.4,28.45,28,28.2,4173300
08/21/20,28.1,28.4,28.05,28.2,11654400
08/20/20,28.2,28.2,28,28.05,1874100
08/19/20,28,28.2,27.8,28,3095400
08/18/20,28,28.5,27.85,28,5918400
08/17/20,28,28.5,28,28.4,2813300
08/14/20,27.55,28.2,27.5,27.7,5272400
08/13/20,28,28.2,27.55,27.85,502400
12/8/2020,27.5,28,27.3,27.95,4507100
11/8/2020,27.5,28,27,27.5,2276700
10/8/2020,27.8,27.8,27.05,27.5,16156200
7/8/2020,27.5,27.9,27.5,27.7,2152000
6/8/2020,26.4,28,26.4,27.4,2125400
5/8/2020,26.5,26.5,25.95,26.15,22651600
4/8/2020,26.9,27,26.1,26.4,23895400
3/8/2020,27.5,27.5,26.8,26.85,30994801
07/30/20,28.35,28.6,28,28.15,11145000
07/29/20,28.3,28.95,28.2,28.3,2254600
07/28/20,29,29,28,28.3,3034900
07/27/20,28.2,29.95,28.2,29.35,6186700
07/24/20,27.85,28.8,27.85,28.1,2485900
07/23/20,27,28.4,26.9,27.5,7197400
07/22/20,26.95,27.35,26.5,26.85,21409801
07/21/20,27.2,27.2,26.45,26.7,31735500
07/20/20,27,27.3,26.8,27,6843000
07/17/20,27,27.25,26.9,27,10761300
07/16/20,27,27.45,26.95,27,16679100
07/15/20,27,27.5,26.75,26.95,24455199
07/14/20,28.4,28.4,26.75,26.95,19231100
07/13/20,27.5,28.4,27.4,27.5,4798600
10/7/2020,27.95,27.95,27.4,27.5,12790700
9/7/2020,28,28,27.25,27.5,30032301
8/7/2020,28.5,28.5,27.8,28,18685801
7/7/2020,30,30,27.9,28.1,22419900
6/7/2020,30,30.2,28.9,29.1,9154500
3/7/2020,29,30,29,29.65,943900
2/7/2020,28.95,29.5,28.8,29,3283300
1/7/2020,29,29,28.65,28.7,11597800
06/30/20,29,29,28.6,28.65,8318800
06/29/20,29,29.5,28.8,28.9,3342400
06/26/20,28.5,29.4,28.25,28.5,8949200
06/25/20,29,29.4,28.2,28.3,18558801
06/24/20,29,29.9,28.35,28.65,20739801
06/23/20,30,30,29,29.45,2414400
06/22/20,30.95,30.95,29.5,30.2,898900
06/19/20,30.95,31,30.8,30.9,11886300
06/18/20,31,31,30.7,30.95,9443700
06/17/20,30.9,31,30.65,30.95,5444600
06/16/20,30.55,31,30.55,30.95,8473800
06/15/20,31,31,30.25,30.45,13444800
12/6/2020,30.4,30.65,30,30.45,21340699
11/6/2020,30.1,30.95,29.85,30.45,3451800
10/6/2020,29.9,30.2,29.65,29.95,17746500
9/6/2020,30,30,29.3,29.65,6873400
8/6/2020,29.5,30,29.3,29.9,14866900
5/6/2020,29.7,29.75,29.05,29.5,8197400
4/6/2020,29.5,30,29.3,29.6,6359200
3/6/2020,29,29.95,28.7,29.1,6216700
2/6/2020,28.6,29,28.2,28.75,13297400
05/29/20,28.85,29.5,28.1,28.55,7418000
05/28/20,28.5,28.6,27.9,28.05,8063900
05/27/20,29.3,29.3,28.5,28.65,5680400
05/26/20,29.3,29.35,28.9,29,6702500
05/22/20,28.9,29.5,28.9,29.35,6058400
05/21/20,29,29,28.7,28.8,4493700
05/20/20,28.9,29.2,28.9,29,3729400
05/19/20,29.5,29.5,29,29.2,8828400
05/18/20,28.6,29,27.85,28.9,2052300
05/15/20,27.2,28.5,27.05,27.65,13420000
05/14/20,27.8,28,26.9,27.1,4747600
05/13/20,28.5,28.5,27.5,27.8,10501800
12/5/2020,29,29,27.9,28,24178699
11/5/2020,29,29,28,28.3,7687100
8/5/2020,30,30,27.95,28.35,8408400
