Date, Open, High, Low, Close, Volume
2/2/2021,154.75,155,152.25,154.75,13800
1/2/2021,150,155.75,150,152.25,21200
01/29/21,151,152,149,149.75,396200
01/28/21,150,152,150,150.75,7800
01/27/21,149,149.75,148,148.5,30500
01/26/21,150,150,148,148.25,99000
01/25/21,150,150,149,149,276200
01/22/21,150,150,150,150,16300
01/21/21,150,150.5,149.5,150.25,350100
01/20/21,151,151,150,150.25,60100
01/19/21,151,151,150.5,151,534200
01/18/21,152,152,151,151,39500
01/15/21,152,152,151,151.25,15000
01/14/21,152,152.5,151,151.25,48900
01/13/21,154,154,150.5,152.5,318500
12/1/2021,154.5,154.5,154,154,4600
11/1/2021,155,155,154,154.5,77900
8/1/2021,158.5,158.5,155,155,118400
7/1/2021,158,158,158,158,300
6/1/2021,154,160,154,155.5,8400
5/1/2021,154,158,154,155,6200
4/1/2021,156,156,154,154,168800
12/31/20,154,156,154,154.25,71700
12/30/20,155.75,156,154,154,37300
12/29/20,156,156,153,153.25,11200
12/28/20,154,154,153,153,3200
12/24/20,155,158,155,156,313600
12/23/20,150.5,155,150.5,155,18400
12/22/20,150,154,150,150,156600
12/21/20,150,152,150,150.25,87300
12/18/20,152,152,150.25,150.25,70200
12/17/20,151,152,150,150.25,424600
12/16/20,152,152,149.25,150,457800
12/15/20,152.25,152.25,151.25,151.5,265400
12/14/20,154.75,154.75,151,152.25,55100
11/12/2020,155,155,154.75,154.75,30200
10/12/2020,155,155,155,155,1200
9/12/2020,155,155,154.5,155,1600
8/12/2020,154,155,152,152.75,676400
7/12/2020,155,155,154,154,1900
4/12/2020,155,155,153.75,154.75,247800
3/12/2020,155,155,153.75,155,61100
2/12/2020,155,155,153,155,20600
1/12/2020,153,155,153,153,305500
11/30/20,155,155,153,153,479500
11/27/20,155,155,152,153.75,270100
11/26/20,155,155,155,155,1000
11/25/20,160,160,155,155,368000
11/24/20,155,160,155,155,617700
11/23/20,156,156,154,155,827100
11/20/20,160,160,154,155,171800
11/19/20,160,163,153,155,149600
11/18/20,160,161,158,159.75,194700
11/17/20,162,162,160,160.25,95100
11/16/20,160,160,159,159.25,319000
11/13/20,159.5,159.5,158.75,159,219900
12/11/2020,160.25,161.5,159.75,160,212500
11/11/2020,160,164,160,163.5,376300
10/11/2020,155,158,153.25,155.75,10000
9/11/2020,155,155,151.5,151.5,13200
6/11/2020,151,152,150.25,150.75,265300
5/11/2020,150,151,150,150.25,776100
4/11/2020,150,151,150,150.5,277200
3/11/2020,151,151,151,151,78700
2/11/2020,150.5,154,150,150.5,516700
10/30/20,153.5,153.5,149.75,150.25,1014000
10/29/20,154.75,154.75,152,153.75,5600
10/28/20,153,155,152,153,11400
10/27/20,158,158,153.5,153.75,11500
10/26/20,158,158,152.25,153.75,441600
10/23/20,160,160,156.75,157,616500
10/22/20,160,160,159,160,4500
10/21/20,163,163,160,160,122400
10/19/20,162,162,162,162,1100
10/16/20,164,164,163,163,20400
10/15/20,163,164.75,163,163,71200
10/14/20,161.5,169.75,161,162.25,1100
10/13/20,168.75,168.75,161,163.5,12800
12/10/2020,163,170,163,168.75,218800
9/10/2020,163,168,163,164.75,13600
8/10/2020,161,165,161,161.5,175400
7/10/2020,161.5,161.5,161.5,161.5,88500
6/10/2020,161,161.5,160.75,161,105800
5/10/2020,169.5,169.5,161,163,4500
2/10/2020,163,163,161,161.25,261000
1/10/2020,170,170,160.5,163.25,61300
09/30/20,170,170,166,169.25,233800
09/29/20,170,171,168,170,79300
09/28/20,168,170,167,168,110200
09/25/20,164,164.5,164,164.25,64900
09/24/20,162,170,162,163,164400
09/23/20,161.5,164.5,160.5,160.75,47300
09/22/20,161,165,160.5,160.5,599900
09/21/20,160.25,168,160.25,161.5,6200
09/18/20,169.5,169.5,160.25,168,43500
09/17/20,166,169.5,160,160.25,808600
09/16/20,165,165,162.5,164,451900
09/15/20,166.5,167.5,164,165.5,261300
09/14/20,168.25,168.25,166.5,168.25,12000
11/9/2020,170,170,168,168.25,64800
10/9/2020,170,170,169,169.5,104900
9/9/2020,170,170,164,168,163600
8/9/2020,170,170,164,164,214400
7/9/2020,174.75,174.75,161,173.75,161600
4/9/2020,174.75,174.75,170,170.5,52100
3/9/2020,172,174.75,172,173,114500
2/9/2020,168,175,167.25,169,145600
1/9/2020,170,170,164,166.25,233500
08/31/20,162,165,160,161,152700
08/28/20,157,160,157,158.25,43800
08/27/20,152,159,152,154.25,174300
08/26/20,152,152.25,151.25,152,211900
08/25/20,151,151.25,150,151.25,78500
08/24/20,150.5,152,150,150,106700
08/21/20,154,154,150,151,425800
08/20/20,154.75,154.75,154,154.25,8400
08/19/20,154,155,154,155,900
08/18/20,154,154,154,154,49900
08/17/20,154,154,154,154,3300
08/14/20,154,155,154,154,215100
08/13/20,154.75,154.75,151,154,92700
12/8/2020,152,155,150.25,152,45300
11/8/2020,152,152,150,150,613900
10/8/2020,155,155,153,153,103400
7/8/2020,155,155,152,155,40500
6/8/2020,155,156,155,155,51800
5/8/2020,155,155,154.75,155,3200
4/8/2020,154.75,157,152,152,977200
3/8/2020,160,160,154.5,156,6300
07/30/20,160,160,150,154.75,437500
07/29/20,162.75,162.75,160,160.75,613800
07/28/20,165,165,160,163,104900
07/27/20,161.75,167,161.75,163,311200
07/24/20,162,170,161.25,167.75,2300
07/23/20,161.25,168.25,160,160.25,305300
07/22/20,165,165,160.25,161,158300
07/21/20,161,162,161,161,2600
07/20/20,160,163,160,160.25,90400
07/17/20,160,160,160,160,700
07/16/20,169,169,155.25,156.75,4500
07/15/20,158,158,156.5,156.5,100500
07/14/20,157,157.75,156,156.5,170800
07/13/20,158,158,157,157.75,1600
10/7/2020,159,159,158,158,1374400
9/7/2020,160.5,165,158,158.25,126700
8/7/2020,160,160,159,159.25,384000
7/7/2020,158,160,155,156.5,96500
6/7/2020,162.5,162.5,155,157.25,427500
3/7/2020,162.5,162.5,162.5,162.5,300
2/7/2020,162.5,162.5,162.25,162.5,12500
1/7/2020,164,164,162.25,162.25,6000
06/30/20,170,170,160,162.5,263500
06/29/20,170.25,172,168.5,170.25,395500
06/26/20,173.5,173.5,168,170,84300
06/25/20,174.5,174.5,172,173,68300
06/24/20,176,176,172,174.75,224600
06/23/20,175,175,172,175,129400
06/22/20,175,176,174.5,175,505200
06/19/20,175,175,173,175,40000
06/18/20,173,175,172,174.75,55000
06/17/20,171.75,175,170,171.75,497400
06/16/20,170,172,170,170,52200
06/15/20,168.5,170,168.5,168.5,448800
12/6/2020,168.5,170,166.25,168.5,121300
11/6/2020,169,172,168,169,180500
10/6/2020,168,172,166,166,68700
9/6/2020,163,172,163,166,596100
8/6/2020,165,167,164,166.75,71300
5/6/2020,175,175,166,167,18000
4/6/2020,170,170,164,166,241000
3/6/2020,175,175,162,165.25,299600
2/6/2020,166,170,160.5,163.75,188100
05/29/20,175,175,159.25,162,338100
05/28/20,163,165,163,164,124000
05/27/20,164.75,165,163,163,663000
05/26/20,165,165,164,164.75,461600
05/22/20,165,165,162.5,162.75,119800
05/21/20,163,163,161,161.25,586500
05/20/20,165,165,163,163,501200
05/19/20,165,165,164,164.5,260600
05/18/20,167,167,165,165,113200
05/15/20,170,170,165,165,3242600
05/14/20,165,165,165,165,25000
05/13/20,175,175,165,165.75,371400
12/5/2020,170,173,170,170,218000
11/5/2020,175,175,170,170,709000
8/5/2020,180,180,169.25,170.5,103800
7/5/2020,175.25,180,175.25,178.5,1600
6/5/2020,185,185,173.5,175.25,21100
5/5/2020,180,180,175,180,125000
4/5/2020,180,185,175,175.25,167000
04/30/20,163,175,163,172.75,91100
04/29/20,162,163,160,161.25,16100
04/28/20,153,155.25,153,153.75,68600
04/27/20,162,162,153,153,121000
04/24/20,152.5,153,150,152,566100
04/23/20,150,150,148.25,149,17100
04/22/20,148.75,150,148,148,680600
04/21/20,147.25,150,147.25,148.75,255300
04/20/20,148,148,146,147.75,342600
04/17/20,150,150,147.75,148,443400
04/16/20,150,150,148,148.25,75500
04/15/20,150,152.75,150,150,435100
04/14/20,143.25,155,143.25,152.75,653800
9/4/2020,149,150,145,145,169800
8/4/2020,146,150,146,146.5,55800
7/4/2020,156,156,145.75,146.5,160100
6/4/2020,158,158,155,156,153100
3/4/2020,155,159.25,153.5,155.25,280500
2/4/2020,149,156,149,149,318500
1/4/2020,150,150,149,149.25,168000
03/31/20,140,150,138,149.5,86500
03/30/20,138,140,138,139,10500
03/27/20,140,145.5,135,135.25,837600
03/26/20,147,147,135,135.75,1285100
03/25/20,150,150,137.75,139.75,870800
03/24/20,156,156,143,147,110300
03/23/20,161,161,155,155.75,17600
03/20/20,162,170,159,159.25,365800
03/19/20,170,170,158,160.5,1879100
03/18/20,174,175.25,171,172.25,133000
03/17/20,179.75,180,171,175.25,141400
03/16/20,185,186,175,180.5,419700
03/13/20,185,190,185,185,146900
12/3/2020,192.25,197.25,187,192.25,733600
11/3/2020,198.5,200,197,198.5,200
10/3/2020,195.5,200,193,195.5,338400
9/3/2020,195.25,207.75,195,195.25,514200
6/3/2020,207.75,210,201,207.75,522200
5/3/2020,202,202,202,202,600
4/3/2020,201.25,202,200,201.25,3300
